official_json_row_1based,group,fig,control,shift,condition,channel,direction,status_in,data1_in,status_out,data1_out,decoded_actions,implementation,finding
382,PAD,P8,PAD 8,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,37,9n,37,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
383,PAD,P8,PAD 8,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3F,9n,3F,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
384,PAD,P8,PAD 8,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3F,9n,3F,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
385,PAD,P8,PAD 8,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,47,9n,47,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
386,PAD,P8,PAD 8,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,47,9n,47,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
387,PAD,P8,PAD 8,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4F,9n,4F,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
388,PAD,P8,PAD 8,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4F,9n,4F,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
389,PAD,P8,PAD 8,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,57,9n,57,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
390,PAD,P8,PAD 8,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,57,9n,57,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
391,PAD,P8,PAD 8,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5F,9n,5F,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
392,PAD,P8,PAD 8,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5F,9n,5F,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
393,PAD,P8,PAD 8,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,67,9n,67,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
394,PAD,P8,PAD 8,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,67,9n,67,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
395,PAD,P8,PAD 8,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6F,9n,6F,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
396,PAD,P8,PAD 8,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6F,9n,6F,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
397,PAD,P8,PAD 8,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,77,9n,77,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
398,PAD,P8,PAD 8,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,77,9n,77,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
399,PAD,P8,PAD 8,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7F,9n,7F,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
400,PAD,P8,PAD 8,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7F,9n,7F,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
401,PAD,P9,HOT CUE,,,1/2/3/4,IN/OUT,9n,1B,9n,1B,hotcueMode,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
402,PAD,P9,HOT CUE,+SHIFT,,1/2/3/4,IN/OUT,9n,69,9n,69,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
403,PAD,P10,PAD FX,,,1/2/3/4,IN/OUT,9n,1E,9n,1E,fxMode,部分実装,PAD FX 1/2の別設定なし。PAGEはBEAT JUMP通常2入力だけ範囲変更に使用。
404,PAD,P10,PAD FX,+SHIFT,,1/2/3/4,IN/OUT,9n,6B,9n,6B,fxMode,部分実装,PAD FX 1/2の別設定なし。PAGEはBEAT JUMP通常2入力だけ範囲変更に使用。
405,PAD,P11,BEAT JUMP,,,1/2/3/4,IN/OUT,9n,20,9n,20,jumpMode,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
406,PAD,P11,BEAT JUMP,+SHIFT,,1/2/3/4,IN/OUT,9n,6D,9n,6D,loopMode,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
407,PAD,P12,SAMPLER,,,1/2/3/4,IN/OUT,9n,22,9n,22,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
408,PAD,P12,SAMPLER,+SHIFT,,1/2/3/4,IN/OUT,9n,6F,9n,6F,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
409,PAD,P13,PAGE ◀ (*1),,HOT CUE mode,1/2/3/4,IN/OUT,9n,24,9n,24,,未デコード,公式入力を渡してもアクションなし。
410,PAD,P13,PAGE ◀ (*1),+SHIFT,HOT CUE mode,1/2/3/4,IN/OUT,9n,01,9n,01,,未デコード,公式入力を渡してもアクションなし。
411,PAD,P13,PAGE ◀ (*1),,PAD FX mode 1,1/2/3/4,IN/OUT,9n,25,9n,25,,未デコード,公式入力を渡してもアクションなし。
412,PAD,P13,PAGE ◀ (*1),+SHIFT,PAD FX mode 1,1/2/3/4,IN/OUT,9n,02,9n,02,,未デコード,公式入力を渡してもアクションなし。
413,PAD,P13,PAGE ◀ (*1),,BEAT JUMP mode,1/2/3/4,IN/OUT,9n,26,9n,26,jumpRangeDown,部分実装,PAD FX 1/2の別設定なし。PAGEはBEAT JUMP通常2入力だけ範囲変更に使用。
414,PAD,P13,PAGE ◀ (*1),+SHIFT,BEAT JUMP mode,1/2/3/4,IN/OUT,9n,03,9n,03,,未デコード,公式入力を渡してもアクションなし。
415,PAD,P13,PAGE ◀ (*1),,SAMPLER mode,1/2/3/4,IN/OUT,9n,27,9n,27,,未デコード,公式入力を渡してもアクションなし。
416,PAD,P13,PAGE ◀ (*1),+SHIFT,SAMPLER mode,1/2/3/4,IN/OUT,9n,04,9n,04,,未デコード,公式入力を渡してもアクションなし。
417,PAD,P13,PAGE ◀ (*1),,KEYBOARD mode,1/2/3/4,IN/OUT,9n,28,9n,28,,未デコード,公式入力を渡してもアクションなし。
418,PAD,P13,PAGE ◀ (*1),+SHIFT,KEYBOARD mode,1/2/3/4,IN/OUT,9n,05,9n,05,,未デコード,公式入力を渡してもアクションなし。
419,PAD,P13,PAGE ◀ (*1),,PAD FX mode 2,1/2/3/4,IN/OUT,9n,29,9n,29,,未デコード,公式入力を渡してもアクションなし。
420,PAD,P13,PAGE ◀ (*1),+SHIFT,PAD FX mode 2,1/2/3/4,IN/OUT,9n,06,9n,06,,未デコード,公式入力を渡してもアクションなし。
421,PAD,P13,PAGE ◀ (*1),,BEAT LOOP mode,1/2/3/4,IN/OUT,9n,2A,9n,2A,,未デコード,公式入力を渡してもアクションなし。
422,PAD,P13,PAGE ◀ (*1),+SHIFT,BEAT LOOP mode,1/2/3/4,IN/OUT,9n,07,9n,07,,未デコード,公式入力を渡してもアクションなし。
423,PAD,P13,PAGE ◀ (*1),,KEY SHIFT mode,1/2/3/4,IN/OUT,9n,2B,9n,2B,,未デコード,公式入力を渡してもアクションなし。
424,PAD,P13,PAGE ◀ (*1),+SHIFT,KEY SHIFT mode,1/2/3/4,IN/OUT,9n,08,9n,08,,未デコード,公式入力を渡してもアクションなし。
425,PAD,P14,PAGE ▶ (*1),,HOT CUE mode,1/2/3/4,IN/OUT,9n,2C,9n,2C,,未デコード,公式入力を渡してもアクションなし。
426,PAD,P14,PAGE ▶ (*1),+SHIFT,HOT CUE mode,1/2/3/4,IN/OUT,9n,09,9n,09,,未デコード,公式入力を渡してもアクションなし。
427,PAD,P14,PAGE ▶ (*1),,PAD FX mode 1,1/2/3/4,IN/OUT,9n,2D,9n,2D,,未デコード,公式入力を渡してもアクションなし。
428,PAD,P14,PAGE ▶ (*1),+SHIFT,PAD FX mode 1,1/2/3/4,IN/OUT,9n,7A,9n,7A,,未デコード,公式入力を渡してもアクションなし。
429,PAD,P14,PAGE ▶ (*1),,BEAT JUMP mode,1/2/3/4,IN/OUT,9n,2E,9n,2E,jumpRangeUp,部分実装,PAD FX 1/2の別設定なし。PAGEはBEAT JUMP通常2入力だけ範囲変更に使用。
430,PAD,P14,PAGE ▶ (*1),+SHIFT,BEAT JUMP mode,1/2/3/4,IN/OUT,9n,7B,9n,7B,,未デコード,公式入力を渡してもアクションなし。
431,PAD,P14,PAGE ▶ (*1),,SAMPLER mode,1/2/3/4,IN/OUT,9n,2F,9n,2F,,未デコード,公式入力を渡してもアクションなし。
432,PAD,P14,PAGE ▶ (*1),+SHIFT,SAMPLER mode,1/2/3/4,IN/OUT,9n,7C,9n,7C,,未デコード,公式入力を渡してもアクションなし。
433,PAD,P14,PAGE ▶ (*1),,KEYBOARD mode,1/2/3/4,IN/OUT,9n,30,9n,30,,未デコード,公式入力を渡してもアクションなし。
434,PAD,P14,PAGE ▶ (*1),+SHIFT,KEYBOARD mode,1/2/3/4,IN/OUT,9n,7D,9n,7D,,未デコード,公式入力を渡してもアクションなし。
435,PAD,P14,PAGE ▶ (*1),,PAD FX mode 2,1/2/3/4,IN/OUT,9n,31,9n,31,,未デコード,公式入力を渡してもアクションなし。
436,PAD,P14,PAGE ▶ (*1),+SHIFT,PAD FX mode 2,1/2/3/4,IN/OUT,9n,7E,9n,7E,,未デコード,公式入力を渡してもアクションなし。
437,PAD,P14,PAGE ▶ (*1),,BEAT LOOP mode,1/2/3/4,IN/OUT,9n,32,9n,32,,未デコード,公式入力を渡してもアクションなし。
438,PAD,P14,PAGE ▶ (*1),+SHIFT,BEAT LOOP mode,1/2/3/4,IN/OUT,9n,7F,9n,7F,,未デコード,公式入力を渡してもアクションなし。
439,PAD,P14,PAGE ▶ (*1),,KEY SHIFT mode,1/2/3/4,IN/OUT,9n,33,9n,33,,未デコード,公式入力を渡してもアクションなし。
440,PAD,P14,PAGE ▶ (*1),+SHIFT,KEY SHIFT mode,1/2/3/4,IN/OUT,9n,00,9n,00,,未デコード,公式入力を渡してもアクションなし。
441,Illumination Control,,Current position bar,,for JOG display (*2),1/2/3/4,OUT,,,Bn,14 / 34,,出力別途監査,位置表示あり。MIDIは1800ms周期の計算、HIDは位置データ。
442,Illumination Control,,BPM value,,for JOG display (*2),1/2/3/4,OUT,,,Bn,15 / 35,,出力別途監査,MIDI上限999.9とHID上限255.9が異なる。
443,Illumination Control,,Playing speed,,for JOG display (*2),1/2/3/4,OUT,,,Bn,16 / 36,,出力別途監査,MIDIはrateを送るがHID中は抑制。HIDに速度数値表示の実装なし。
444,Illumination Control,,Current time (minute),,for JOG display (*2),1/2/3/4,OUT,,,9n,42,,出力別途監査,経過分あり。
445,Illumination Control,,Current time (second),,for JOG display (*2),1/2/3/4,OUT,,,9n,43,,出力別途監査,経過秒あり。
446,Illumination Control,,Time mode,,for JOG display (*2),1/2/3/4,OUT,,,9n,44,,出力別途監査,elapsed固定、remaining切替なし。
447,Illumination Control,,Cue marker,,for JOG display (*2),1/2/3/4,OUT,,,Bn,17 / 37,,出力別途監査,MIDI未送信。HIDは先頭hotcue/beatで代用し、一時CUE位置ではない。
448,Illumination Control,,Key value,,for JOG display (*2),1/2/3/4,OUT,,,9n,49,,出力別途監査,MIDI未送信。HIDにもキー情報を渡していない。
449,Illumination Control,,Key variation,,for JOG display (*2),1/2/3/4,OUT,,,9n,4A,,出力別途監査,MIDI未送信。HIDは0x0d固定。
450,Illumination Control,,Beat Sync Master,,for JOG display (*2),1/2/3/4,OUT,,,9n,59,,出力別途監査,MIDI出力あり。ただしHID中抑制、HIDのmasterフィールド未使用。
451,Illumination Control,,Beat Sync State,,for JOG display (*2),1/2/3/4,OUT,,,9n,5A,,出力別途監査,MIDI出力あり。ただしHID中抑制、HIDにsyncEnabledなし。
452,Illumination Control,,JOG Ring LED State,,for JOG display (*2),1/2/3/4,OUT,,,9n,5B,,出力別途監査,MIDI出力、HID接続時点灯あり。
453,Illumination Control,,Display/hide information on the jog dial display,,for JOG display (*2),1/2/3/4,OUT,,,9n,5D,,出力別途監査,MIDI出力、HID接続時表示/lease失効時空デッキあり。
